case_number,date_time_reported,location_of_occurence,domesticdv_relationship,incident_type,criminal_offense,disposition
2017-00028501,07/09/2017 12:40:00 am,"LOCUST ST/S  9TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00028501,07/09/2017 12:40:00 am,"LOCUST ST/S  9TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00028485,07/08/2017 08:55:00 pm,"HITT/LOCUST , Columbia MO,",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00028429,07/08/2017 03:35:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),Tampering,Cleared by Arrest Adult
2017-00028389,07/08/2017 02:17:00 am,"2800 PROVIDENCE RD, Columbia MO, 65203",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00028389,07/08/2017 02:17:00 am,"2800 PROVIDENCE RD, Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00028389,07/08/2017 02:17:00 am,"2800 PROVIDENCE RD, Columbia MO, 65203",,Not Counted For UCR,Improper lights,Cleared by Arrest Adult
2017-00028366,07/07/2017 11:45:00 pm,"COLLEGE AVE/ ANTHONY ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00028365,07/07/2017 10:37:00 pm,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2017-00028219,07/07/2017 01:27:00 am,"STEWART RD/S  PROVIDENCE RD, Columbia MO, 65203",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00028219,07/07/2017 01:27:00 am,"STEWART RD/S  PROVIDENCE RD, Columbia MO, 65203",,Not Counted For UCR,FAILED TO STOP FOR STOP SIGN AT STOP LINE / BEFORE CROSSWALK / POINT NEAREST INTERSECTION,Cleared by Arrest Adult
2017-00028217,07/07/2017 01:19:00 am,"NIFONG BLVD/S  PROVIDENCE RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00028114,07/06/2017 01:30:53 pm,"1000 ROLLINS ST, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2017-00028114,07/06/2017 01:30:53 pm,"1000 ROLLINS ST, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2017-00028074,07/06/2017 10:27:42 am,"1000 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2017-00028074,07/06/2017 10:27:42 am,"1000 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2017-00028020,07/06/2017 06:41:00 am,"VIRGINIA AVE/ HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,DROVE MOTOR VEH ON HIGHWAY WHILE DRIVERS LIC SUSPEND(POINTS),Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,FAILED TO DRIVE WITHIN SINGLE LANE ON ROADWAY HAVING 3 OR MORE LANES,Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2017-00027973,07/06/2017 02:17:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 11-35,Cleared by Arrest Adult
2017-00027887,07/05/2017 02:14:19 pm,"905 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2017-00027887,07/05/2017 02:14:19 pm,"905 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2017-00027886,07/05/2017 01:54:00 pm,"HITT ST/ LAKE ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2017-00027886,07/05/2017 01:54:00 pm,"HITT ST/ LAKE ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2017-00027788,07/05/2017 01:42:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00027788,07/05/2017 01:42:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2017-00027788,07/05/2017 01:42:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,FAILED TO DISPLAY LIGHTED LAMPS ON MTR VEH/MTR DRAWN VEH/MOTORCYCLE AS REQUIRED (GEN LAW),Cleared by Arrest Adult
2017-00027778,07/04/2017 10:01:00 pm,"6TH ST/E  STEWART RD, Columbia MO, 65201",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2017-00027778,07/04/2017 10:01:00 pm,"6TH ST/E  STEWART RD, Columbia MO, 65201",,Liquor Laws,LIQUOR LAWS - PERSON < 21 PURCHASE/POSSESS INTOX LIQUOR,Cleared by Arrest Adult
2017-00027778,07/04/2017 10:01:00 pm,"6TH ST/E  STEWART RD, Columbia MO, 65201",,Simple Assault,ASSAULT - 3RD DEGREE,Cleared by Arrest Adult
2017-00027770,07/04/2017 07:09:00 pm,"1011 MARYLAND AVE, Columbia MO, 65201",,Driving Under The Influence,DWI - PERSISTENT 2 OR MORE PRIORS,Cleared by Arrest Adult
2017-00027680,07/04/2017 01:12:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00027680,07/04/2017 01:12:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2017-00027379,07/02/2017 12:49:00 am,"LOCUST ST/ WAUGH ST, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00027379,07/02/2017 12:49:00 am,"LOCUST ST/ WAUGH ST, Columbia MO, 65201",,Not Counted For UCR,Stop sign violation,Cleared by Arrest Adult
2017-00027379,07/02/2017 12:49:00 am,"LOCUST ST/ WAUGH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Cleared by Arrest Adult
2017-00027375,07/02/2017 12:29:00 am,"PROVIDENCE RD/E  STEWART RD, Columbia MO, 65203",,Not Counted For UCR,DROVE VEHICLE WHILE DRIVER'S LICENSE REVOKED FOR POINTS,Cleared by Arrest Adult
2017-00027375,07/02/2017 12:29:00 am,"PROVIDENCE RD/E  STEWART RD, Columbia MO, 65203",,Not Counted For UCR,FAILED TO DRIVE WITHIN RIGHT LANE OF HWY WITH 2 OR MORE LANES IN SAME DIRECTION,Cleared by Arrest Adult
2017-00027349,07/01/2017 09:14:06 pm,"901 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2017-00027349,07/01/2017 09:14:06 pm,"901 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2017-00027279,07/01/2017 09:22:00 am,"901 VIRGINIA AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00027240,07/01/2017 02:34:56 am,"3 HOSPITAL DR, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00027240,07/01/2017 02:34:56 am,"3 HOSPITAL DR, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2017-00027239,07/01/2017 01:42:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2017-00027239,07/01/2017 01:42:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS,Cleared by Arrest Adult
2017-00027237,07/01/2017 01:24:00 am,"PAQUIN ST/S  COLLEGE AVE, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00027237,07/01/2017 01:24:00 am,"PAQUIN ST/S  COLLEGE AVE, Columbia MO, 65201",,Not Counted For UCR,Improper method of making turn,Cleared by Arrest Adult
2017-00027237,07/01/2017 01:24:00 am,"PAQUIN ST/S  COLLEGE AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00027178,06/30/2017 03:46:46 pm,"1000 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2017-00027178,06/30/2017 03:46:46 pm,"1000 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2017-00027175,06/30/2017 02:59:15 pm,"1100 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2017-00027175,06/30/2017 02:59:15 pm,"1100 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2017-00027170,06/30/2017 01:49:00 pm,"600 STADIUM BLVD, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Open - Active
2017-00027170,06/30/2017 01:49:00 pm,"600 STADIUM BLVD, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Unfounded
2017-00027150,06/30/2017 09:44:07 am,"1004 MARYLAND AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2017-00027150,06/30/2017 09:44:07 am,"1004 MARYLAND AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2017-00027137,06/30/2017 08:18:48 am,"813 VIRGINIA AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Closed Inactive
2017-00027095,06/30/2017 01:52:00 am,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00027095,06/30/2017 01:52:00 am,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2017-00027093,06/30/2017 01:49:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00027093,06/30/2017 01:49:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2017-00027093,06/30/2017 01:49:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,Not Counted For UCR,FAILED TO STOP FOR STOP SIGN AT STOP LINE / BEFORE CROSSWALK / POINT NEAREST INTERSECTION,Cleared by Arrest Adult
2017-00027093,06/30/2017 01:49:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2017-00027090,06/30/2017 01:25:00 am,"510 LOCUST ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00027089,06/30/2017 01:23:00 am,"UNIVERSITY AVE/ MATTHEWS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Closed Inactive
2017-00027089,06/30/2017 01:23:00 am,"UNIVERSITY AVE/ MATTHEWS ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Closed Inactive
2017-00027089,06/30/2017 01:23:00 am,"UNIVERSITY AVE/ MATTHEWS ST, Columbia MO, 65201",,Not Counted For UCR,Stop sign violation,Closed Inactive
2017-00027089,06/30/2017 01:23:00 am,"UNIVERSITY AVE/ MATTHEWS ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Closed Inactive
2017-00027089,06/30/2017 01:23:00 am,"UNIVERSITY AVE/ MATTHEWS ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Closed Inactive
2017-00027072,06/29/2017 11:58:00 pm,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00027072,06/29/2017 11:58:00 pm,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2017-00027066,06/29/2017 10:20:00 pm,"PAQUIN ST/ WAUGH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00026893,06/29/2017 12:36:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA - PRIOR DRUG OFFENSE,Cleared by Arrest Adult
2017-00026893,06/29/2017 12:36:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00026893,06/29/2017 12:36:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,FAILED TO DRIVE WITHIN SINGLE LANE ON ROADWAY HAVING 3 OR MORE LANES,Cleared by Arrest Adult
2017-00026893,06/29/2017 12:36:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2017-00026893,06/29/2017 12:36:00 am,"COLLEGE AVE/ HOSPITAL DR, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS - PRIOR DRUG OFFENSE,Cleared by Arrest Adult
2017-00026732,06/28/2017 09:24:00 am,"UNIVERSITY AVE/ HITT ST, Columbia MO, 65201",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2017-00026702,06/28/2017 01:14:00 am,"PROVIDENCE/MICK DEAVER , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00026702,06/28/2017 01:14:00 am,"PROVIDENCE/MICK DEAVER , Columbia MO,",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2017-00026696,06/28/2017 12:10:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00026696,06/28/2017 12:10:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,Improper method of making turn,Cleared by Arrest Adult
2017-00026654,06/27/2017 07:34:00 pm,"1000 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2017-00026654,06/27/2017 07:34:00 pm,"1000 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2017-00026648,06/27/2017 05:30:00 pm,"BROADWAY /N  8TH ST, Columbia MO, 65201",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2017-00026565,06/27/2017 02:48:00 am,"ROCK QUARRY RD/ FELLOWS PL, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA,Cleared by Arrest Adult
2017-00026565,06/27/2017 02:48:00 am,"ROCK QUARRY RD/ FELLOWS PL, Columbia MO, 65201",,Not Counted For UCR,FAILED TO DRIVE ON RIGHT HALF OF ROADWAY WHEN ROADWAY WAS OF SUFFICIENT WIDTH,Cleared by Arrest Adult
2017-00026565,06/27/2017 02:48:00 am,"ROCK QUARRY RD/ FELLOWS PL, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS,Cleared by Arrest Adult
2017-00026565,06/27/2017 02:48:00 am,"ROCK QUARRY RD/ FELLOWS PL, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 11-35,Cleared by Arrest Adult
2017-00026552,06/27/2017 12:58:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA,Cleared by Arrest Juvenile
2017-00026552,06/27/2017 12:58:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS - PRIOR DRUG OFFENSE,Cleared by Arrest Juvenile
2017-00026549,06/27/2017 12:25:00 am,"STADIUM BLVD/ ASHLAND RD, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00026549,06/27/2017 12:25:00 am,"STADIUM BLVD/ ASHLAND RD, Columbia MO, 65201",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2017-00026478,06/26/2017 05:43:00 pm,"1000 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Exceptly Cleared Adult
2017-00026396,06/26/2017 04:36:00 am,"1026 ASHLAND RD, Columbia MO, 0",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00026396,06/26/2017 04:36:00 am,"1026 ASHLAND RD, Columbia MO, 0",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2017-00026270,06/25/2017 07:18:00 am,"1 CHAMPIONS DR, Columbia MO, 65201",,Burglary Breaking and Entering,BURGLARY 2ND DEGREE,Cleared by Arrest Adult
2017-00026270,06/25/2017 07:18:00 am,"1 CHAMPIONS DR, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Cleared by Arrest Adult
2017-00026256,06/25/2017 03:54:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Open - Active
2017-00026256,06/25/2017 03:54:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Unfounded
2017-00026250,06/25/2017 02:19:00 am,"801 CONLEY AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00026250,06/25/2017 02:19:00 am,"801 CONLEY AVE, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00026190,06/24/2017 08:40:00 pm,"STADIUM BLVD/ MARYLAND AVE, Columbia MO, 65201",,Not Counted For UCR,Speeding,Cleared by Arrest Adult
2017-00026190,06/24/2017 08:40:00 pm,"STADIUM BLVD/ MARYLAND AVE, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD,Cleared by Arrest Adult
2017-00026160,06/24/2017 01:51:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,Simple Assault,Exceptly Cleared Adult
2017-00026160,06/24/2017 01:51:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,Simple Assault,Open - Active
2017-00026074,06/23/2017 10:47:47 pm,"1000 ELM ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2017-00026074,06/23/2017 10:47:47 pm,"1000 ELM ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open Not Active
2017-00026073,06/23/2017 09:13:00 pm,"1000 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),MAKING A FALSE BOMB REPORT,Open - Active
2017-00026073,06/23/2017 09:13:00 pm,"1000 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),MAKING A FALSE BOMB REPORT,Open Not Active
2017-00025951,06/23/2017 01:18:00 am,"CHERRY ST/S  7TH ST, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00025951,06/23/2017 01:18:00 am,"CHERRY ST/S  7TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00025941,06/23/2017 12:25:00 am,"8TH ST/ ELM ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00025941,06/23/2017 12:25:00 am,"8TH ST/ ELM ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00025923,06/22/2017 08:57:53 pm,"BROADWAY /N  WILLIAM ST, Columbia MO, 65201",,Not Counted For UCR,No operator's license,Cleared by Arrest Adult
2017-00025877,06/22/2017 11:57:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,WARRANT-FELONY,Cleared by Arrest Adult
2017-00025835,06/22/2017 04:41:00 am,"WALNUT ST/N  PROVIDENCE RD, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00025835,06/22/2017 04:41:00 am,"WALNUT ST/N  PROVIDENCE RD, Columbia MO, 65201",,Not Counted For UCR,FAILED TO SIGNAL / GAVE IMPROPER SIGNAL WHEN STOPPING/ TURNING LEFT OR RIGHT,Cleared by Arrest Adult
2017-00025829,06/22/2017 02:20:00 am,"ROCK QUARRY RD / STAGS WAY , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2017-00025825,06/22/2017 01:24:00 am,"9TH ST/ UNIVERSITY AVE, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2017-00025825,06/22/2017 01:24:00 am,"9TH ST/ UNIVERSITY AVE, Columbia MO, 65201",,Not Counted For UCR,FAILED TO STOP FOR STOP SIGN AT STOP LINE / BEFORE CROSSWALK / POINT NEAREST INTERSECTION,Cleared by Arrest Adult
2017-00025824,06/22/2017 01:23:00 am,"PROVIDENCE RD/E  BROADWAY , Columbia MO, 65203",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00025824,06/22/2017 01:23:00 am,"PROVIDENCE RD/E  BROADWAY , Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00025824,06/22/2017 01:23:00 am,"PROVIDENCE RD/E  BROADWAY , Columbia MO, 65203",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2017-00025821,06/22/2017 01:12:00 am,"PROVIDENCE RD/E  BROADWAY , Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2017-00025821,06/22/2017 01:12:00 am,"PROVIDENCE RD/E  BROADWAY , Columbia MO, 65203",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2017-00025713,06/21/2017 02:48:00 pm,"701 5TH ST, Columbia MO, 65201",,Fraud,FRAUD APPL/RENEW/ISUE USE OF DISABLED LICENSE/WNDSHD PLAC,Cleared by Arrest Adult
2017-00025704,06/21/2017 12:53:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,ASSAULT - 3RD DEGREE,Cleared by Arrest Adult
2017-00025704,06/21/2017 12:53:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,ASSAULT - 3RD DEGREE,Open - Active
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA - PRIOR DRUG OFFENSE,Cleared by Arrest Adult
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA - PRIOR DRUG OFFENSE,Open - Active
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,ASSAULT - 3RD DEGREE,Cleared by Arrest Adult
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,ASSAULT - 3RD DEGREE,Open - Active
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Cleared by Arrest Adult
2017-00025677,06/21/2017 06:08:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Open - Active
2017-00025670,06/21/2017 02:39:00 am,"8TH ST/ CHERRY ST, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2017-00025660,06/21/2017 01:55:00 am,"1118 LOCUST ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00025660,06/21/2017 01:55:00 am,"1118 LOCUST ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00025657,06/21/2017 01:18:00 am,"518 HITT ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2017-00025657,06/21/2017 01:18:00 am,"518 HITT ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2017-00025504,06/20/2017 06:07:58 am,"1004 MARYLAND AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2017-00025504,06/20/2017 06:07:58 am,"1004 MARYLAND AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2017-00025458,06/20/2017 12:03:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
